geo_point_2d;geo_shape;insee;ident;siret;infor;adresse;exploit;th_heur;th_nuit;ta_moivel;th_quar;th_10;np_pmr;ta_type;ta_nres7j;ta_titul;libres;np_veltot;np_2rele;np_hgsup;np_stlav;np_covoit;prepaye;nb_niv;th_4;ta_ntitul;th_3;th_2;th_24;gabari_max;mdate;url;np_vle;np_fourr;th_demi;secteur;np_global;np_velec;gid;gabari_std;titul;propr;np_mobalt;ta_handi;np_hginf;connecte;np_pr;etat;nom;total;typgest;type;an_serv;ta_resmoi;np_2rmot;cdate;np_total;tv_1h;ta_moimot
44.8742948, -0.6270837;"{""coordinates"": [-0.6270837, 44.8742948], ""type"": ""Point""}";33069;CUBPK98;80822705200012;4.5€ conducteur seul et 4€ pour 2 à 5 personnes dans VL;Avenue de l'Hippodrome 33320 Eysines;KEOLIS;4.5;;;4.5;4.5;7;PAYANT_TARIF_PARC_RELAIS;;0.0;63;32;0;0;0;0;0.0;1;4.5;4.5;4.5;4.5;;1.9;2024-10-01T08:11:31+00:00;https://www.infotbm.com/fr/parc-relais;5;0;4.5;PERIPHERIE;240;0;624;1.9;TBM;BORDEAUX_METROPOLE;0;AUTRE;0;1;240;LIBRE;Parc-Relais De L'Hippodrome;250;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;SURFACE;2020;;0;2020-03-02T15:16:49+00:00;240;0.0;
44.8800906, -0.5684187;"{""coordinates"": [-0.5684187, 44.8800906], ""type"": ""Point""}";33063;CUBPK99;320 229 644 05241;Propriété Bouygues Immobilier;rue Jean Royer 33300 Bordeaux;INDIGO_PARK;0.0;;;0.0;18.0;20;PAYANT_TARIF_HORAIRE;86.0;;689;0;0;0;0;0;0.0;3;4.8;;2.4;0.0;18.0;1.9;2024-10-01T08:11:38+00:00;https://fr.parkindigo.com/parking/bordeaux-33300/parking-centre-commercial-ginko-33001600;8;0;0.0;PERIPHERIE;952;0;643;1.9;INDIGO_PARK;AUTRE;0;NORMAL_PAYANT;0;1;0;LIBRE;Centre Commerçant Ginko;930;GESTION_PRIVEE;ENTERRE;2020;86.0;0;2020-04-16T10:24:06+00:00;952;0.0;
44.8351304, -0.5721457;"{""coordinates"": [-0.5721457, 44.8351304], ""type"": ""Point""}";33063;CUBPK16;453 335 069 00010;Vélos: 45€/an ou 10€/mois;Cours Victor Hugo 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;17;PAYANT_TARIF_HORAIRE;100.0;;198;60;0;0;0;0;0.0;7;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:14:35+00:00;https://www.mtpk.fr/;0;0;1.6;HYPER_CENTRE;684;0;215;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Victor Hugo;633;REGIE_AUTONOME;MIXTE;1978;80.0;20;2018-06-01T00:00:00+00:00;684;2.5;31.0
44.8310288, -0.5718999;"{""coordinates"": [-0.5718999, 44.8310288], ""type"": ""Point""}";33063;CUBPK29;453 335 069 00010;Vélos: 45€/an ou 10€/mois;Place de la Victoire 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;10;PAYANT_TARIF_HORAIRE;110.0;;31;60;0;0;0;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:27+00:00;https://www.mtpk.fr/;0;0;1.6;HYPER_CENTRE;457;0;216;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Victoire;290;REGIE_AUTONOME;ENTERRE;1984;75.0;14;2018-06-01T00:00:00+00:00;457;2.5;45.0
44.8388659, -0.5863109;"{""coordinates"": [-0.5863109, 44.8388659], ""type"": ""Point""}";33063;CUBPK28;453 335 069 00010;FERMé POUR TRAVAUX DEPUIS LE _ décembre 2023;Rue Robert Lateulade 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;3;PAYANT_TARIF_HORAIRE;115.0;;70;48;0;0;0;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:31+00:00;https://www.mtpk.fr/;0;418;1.6;HYPER_CENTRE;997;0;219;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;11;1;0;FERME;Front Du Medoc;70;REGIE_AUTONOME;SILO;1977;75.0;69;2018-06-01T00:00:00+00:00;454;1.8;45.0
44.8391646, -0.5839712;"{""coordinates"": [-0.5839712, 44.8391646], ""type"": ""Point""}";33063;CUBPK30;453 335 069 00010;"Vélos: 45€/an ou 10€/mois; 2h gratuite clients Centre commercial quand il est ouvert";Rue Claude Bonnier 33000 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;34;PAYANT_TARIF_HORAIRE;125.0;;275;32;0;0;5;0;0.0;5;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:41+00:00;https://www.mtpk.fr/;19;0;1.6;HYPER_CENTRE;1267;0;220;1.8;METPARK;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Centre Commercial Meriadeck;1067;REGIE_AUTONOME;MIXTE;1980;80.0;33;2018-06-01T00:00:00+00:00;1267;2.5;45.0
44.8389894, -0.5720891;"{""coordinates"": [-0.5720891, 44.8389894], ""type"": ""Point""}";33063;CUBPK06;320 229 644 05241;;Place Camille Jullian - 33000 BORDEAUX;INDIGO_PARK;3.1;8.2;;1.2;20.4;7;PAYANT_TARIF_HORAIRE;164.0;;229;0;0;0;0;0;0.0;4;10.5;;8.3;6.6;28.6;1.9;2024-10-01T08:14:18+00:00;https://fr.parkindigo.com/parking/camille-jullian-33001400;0;0;2.4;HYPER_CENTRE;338;0;224;1.9;INDIGO_CENTRAL_PARCS;BORDEAUX_METROPOLE;0;NORMAL_PAYANT;0;1;0;LIBRE;Camille Jullian;320;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;ENTERRE;1991;128.0;5;2018-06-01T00:00:00+00:00;338;2.5;62.0
44.8345879, -0.5800428;"{""coordinates"": [-0.5800428, 44.8345879], ""type"": ""Point""}";33063;CUBPK26;453 335 069 00010;Vélos: 45€/an ou 10€/mois, Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place de la République 33100 Bordeaux;METPARK;3.2;6.0;10.0;0.8;20.0;9;PAYANT_TARIF_HORAIRE;125.0;;23;18;0;0;0;0;0.0;3;11.2;;8.8;6.4;20.0;1.8;2024-10-01T08:13:38+00:00;https://www.mtpk.fr/;0;0;1.6;HYPER_CENTRE;406;0;225;1.8;METPARK;BORDEAUX_METROPOLE;0;AUTRE;0;1;0;LIBRE;Republique;394;REGIE_AUTONOME;ENTERRE;1980;80.0;10;2018-06-01T00:00:00+00:00;406;2.5;45.0
44.8428111, -0.5774475;"{""coordinates"": [-0.5774475, 44.8428111], ""type"": ""Point""}";33063;CUBPK07;453 335 069 00010;Moins 40% pour abonnements aux titulaires  carte européenne Mobilité inclusion;Place des Grands Hommes- 33000 BORDEAUX;METPARK;3.2;6.0;;0.8;20.0;9;PAYANT_TARIF_HORAIRE;125.0;;198;0;0;0;2;0;0.0;6;11.2;;8.8;6.4;20.0;1.9;2024-10-01T08:14:24+00:00;https://www.mtpk.fr/parkings/parking-grands-hommes/;0;0;1.6;HYPER_CENTRE;413;0;226;1.9;METPARK;BORDEAUX_METROPOLE;0;AUTRE;0;1;0;LIBRE;Grands Hommes;405;REGIE_AUTONOME;ENTERRE;1989;;0;2018-06-01T00:00:00+00:00;413;2.5;
44.8267061, -0.559011;"{""coordinates"": [-0.559011, 44.8267061], ""type"": ""Point""}";33063;CUBPK22;435 272 596 01814;;59 rue de Saget 33800 Bordeaux;EFFIA_STATIONNEMENT;;;;;;3;PAYANT_RESERVE_ABONNES;83.0;;;0;0;0;0;0;0.0;3;;;;;;1.9;2023-02-22T11:14:07+00:00;https://www.resaplace.com/fr/parking/bordeaux-gare-sncf-le-roy-179;0;0;;CENTRE;137;0;251;1.9;EFFIA;SNCF;0;NORMAL_PAYANT;0;0;0;OUVERT;Leroy;;CONCESSION_DE_SERVICE;ENTERRE;2010;83.0;12;2018-06-01T00:00:00+00:00;137;1.8;41.5
